,0
0,0.19276442971554797
1,0.6288318144159071
2,1.0
3,0.7898370615851973
4,0.4774924054128693
5,0.659762496547915
6,0.27299088649544334
7,0.33416183374758335
8,0.14982049157691213
9,0.21016293841480227
10,0.15520574426953848
11,0.15658657829328915
12,0.21071527202430262
13,0.5468102734051365
14,0.47956365644849486
15,0.0
16,0.1295222314277824
17,0.010356255178127327
18,0.1220657276995305
19,0.20381110190555063
20,0.232532449599558
21,0.16307649820491577
22,0.07359845346589333
23,0.012703673018502837
24,0.3198011599005799
25,0.40140845070422504
26,0.6520298260149131
27,0.9958574979287489
28,0.3916045291355976
29,0.18696492681579668
30,0.4005799502899752
31,0.3762772714719689
32,0.21941452637392977
33,0.4136978735156034
34,0.21458160729080333
35,0.2522783761391878
